variable	value	setting_type	public	description	default_value	origin
sql.defaults.optimizer_use_histograms.enabled	true	b	t	default value for optimizer_use_histograms session setting; enables usage of histograms in the optimizer by default	true	default
sql.defaults.optimizer_use_multicol_stats.enabled	true	b	t	default value for optimizer_use_multicol_stats session setting; enables usage of multi-column stats in the optimizer by default	true	default
sql.defaults.override_alter_primary_region_in_super_region.enabled	false	b	t	default value for override_alter_primary_region_in_super_region; allows for altering the primary region even if the primary region is a member of a super region	false	default
sql.defaults.override_multi_region_zone_config.enabled	false	b	t	default value for override_multi_region_zone_config; allows for overriding the zone configs of a multi-region table or database	false	default
sql.defaults.plan_cache_mode	auto	e	f	default value for plan_cache_mode session setting [force_custom_plan = 0, force_generic_plan = 1, auto = 2]	auto	default
sql.defaults.prefer_lookup_joins_for_fks.enabled	false	b	t	default value for prefer_lookup_joins_for_fks session setting; causes foreign key operations to use lookup joins when possible	false	default
sql.defaults.primary_region		s	t	if not empty, all databases created without a PRIMARY REGION will implicitly have the given PRIMARY REGION		default
sql.defaults.propagate_input_ordering.enabled	false	b	f	default value for the experimental propagate_input_ordering session variable	false	default
sql.defaults.reorder_joins_limit	8	i	t	default number of joins to reorder	8	default
sql.defaults.require_explicit_primary_keys.enabled	false	b	t	default value for requiring explicit primary keys in CREATE TABLE statements	false	default
sql.defaults.results_buffer.size	512 KiB	z	t	default size of the buffer that accumulates results for a statement or a batch of statements before they are sent to the client. This can be overridden on an individual connection with the 'results_buffer_size' parameter. Note that auto-retries generally only happen while no results have been delivered to the client, so reducing this size can increase the number of retriable errors a client receives. On the other hand, increasing the buffer size can increase the delay until the client receives the first result row. Updating the setting only affects new connections. Setting to 0 disables any buffering.	512 KiB	default
sql.defaults.serial_normalization	rowid	e	t	default handling of SERIAL in table definitions [rowid = 0, virtual_sequence = 1, sql_sequence = 2, sql_sequence_cached = 3, unordered_rowid = 4, sql_sequence_cached_node = 5]	rowid	default
sql.defaults.serial_sequences_cache_size	256	i	f	the default cache size when the session's serial normalization mode is set to cached sequencesA cache size of 1 means no caching. Any cache size less than 1 is invalid.	256	default
sql.defaults.statement_timeout	0s	d	t	default value for the statement_timeout; default value for the statement_timeout session setting; controls the duration a query is permitted to run before it is canceled; if set to 0, there is no timeout	0s	default
sql.defaults.stub_catalog_tables.enabled	true	b	t	default value for stub_catalog_tables session setting	true	default
sql.defaults.transaction_rows_read_err	0	i	t	the limit for the number of rows read by a SQL transaction which - once exceeded - will fail the transaction (or will trigger a logging event to SQL_INTERNAL_PERF for internal transactions); use 0 to disable	0	default
sql.defaults.transaction_rows_read_log	0	i	t	the threshold for the number of rows read by a SQL transaction which - once exceeded - will trigger a logging event to SQL_PERF (or SQL_INTERNAL_PERF for internal transactions); use 0 to disable	0	default
sql.defaults.transaction_rows_written_err	0	i	t	the limit for the number of rows written by a SQL transaction which - once exceeded - will fail the transaction (or will trigger a logging event to SQL_INTERNAL_PERF for internal transactions); use 0 to disable	0	default
sql.defaults.transaction_rows_written_log	0	i	t	the threshold for the number of rows written by a SQL transaction which - once exceeded - will trigger a logging event to SQL_PERF (or SQL_INTERNAL_PERF for internal transactions); use 0 to disable	0	default
sql.defaults.use_declarative_schema_changer	on	e	t	default value for use_declarative_schema_changer session setting;disables new schema changer by default [off = 0, on = 1, unsafe = 2, unsafe_always = 3]	on	default
sql.defaults.vectorize	on	e	t	default vectorize mode [on = 0, on = 1, on = 2, experimental_always = 3, off = 4]	on	default
sql.defaults.zigzag_join.enabled	false	b	t	default value for enable_zigzag_join session setting; disallows use of zig-zag join by default	false	default
sql.diagnostics.poll_interval	10s	d	f	rate at which the stmtdiagnostics registries polls for requests, set to zero to disable	10s	default
sql.distsql.acquire_vec_fds.max_retries	8	i	f	determines the number of retries performed during the acquisition of file descriptors needed for disk-spilling operations, set to 0 for unlimited retries	8	default
sql.distsql.direct_columnar_scans.enabled	false	b	f	set to true to enable the 'direct' columnar scans in the KV layer	false	default
sql.distsql.distributed_query_rerun_locally.enabled	true	b	f	determines whether the distributed plans can be rerun locally for some errors	true	default
sql.distsql.flow_stream.timeout	10s	d	f	amount of time incoming streams wait for a flow to be set up before erroring out	10s	default
sql.distsql.index_join_streamer.batch_size	8.0 MiB	z	f	size limit on the input rows to construct a single lookup KV batch (by the ColIndexJoin operator when using the Streamer API)	8.0 MiB	default
sql.distsql.join_reader_index_join_strategy.batch_size	4.0 MiB	z	f	size limit on the input rows to construct a single lookup KV batch (by the joinReader processor and the ColIndexJoin operator (when the latter doesn't use the Streamer API))	4.0 MiB	default
sql.distsql.join_reader_no_ordering_strategy.batch_size	2.0 MiB	z	f	size limit on the input rows to construct a single lookup KV batch	2.0 MiB	default
sql.distsql.join_reader_ordering_strategy.batch_size	100 KiB	z	f	size limit on the input rows to construct a single lookup KV batch	100 KiB	default
sql.distsql.num_runners	16	i	f	determines the number of DistSQL runner goroutines used for issuing SetupFlow RPCs. The default value is computed as the number of vCPUs in a node times 4.	16	default
sql.distsql.parallelize_checks.concurrency_limit	64	i	f	maximum number of additional goroutines to run checks in parallel. The default value is computed as the number of vCPUs in a node times 16.	64	default
sql.distsql.parallelize_checks.enabled	true	b	f	determines whether FOREIGN KEY and UNIQUE constraint checks are performed in parallel	true	default
sql.distsql.parallelize_multi_key_lookup_joins.enabled	false	b	f	determines whether KV batches are executed in parallel for lookup joins in all cases. Enabling this will increase the speed of lookup joins when each input row might get multiple looked up rows at the cost of increased memory usage.	false	default
sql.distsql.streamer.avg_response_size_multiple	3	f	f	determines the multiple used when calculating the average response size by the streamer component	3	default
sql.distsql.streamer.initial_avg_response_size	1.0 KiB	z	f	determines the initial estimate used when calculating the average response size by the streamer component	1.0 KiB	default
sql.distsql.temp_storage.hash_agg.enabled	true	b	f	set to false to disable hash aggregator disk spilling (this will improve performance, but the query might hit the memory limit)	true	default
sql.distsql.temp_storage.workmem	64 MiB	z	t	maximum amount of memory in bytes a processor can use before falling back to temp storage	64 MiB	default
sql.distsql.use_streamer.enabled	true	b	f	determines whether the usage of the Streamer API is allowed. Enabling this will increase the speed of lookup/index joins while adhering to memory limits.	true	default
